gw,Player,playerID,Num,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,CmpPct,PrgP,Carries,PrgC,Succ,TotDist,PrgDist,xA,KP,Passes_Final_Third,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,Inswinging,Outswinging,Str,Pass_Offside,TklW,Def_3rd,Mid_3rd,Att_3rd,TklPct,Lost,Pass,TklAndInterceptions,Clr,Err,Def_Pen,Att_Pen,SuccPct,Tkld,TkldPct,CPA,Mis,Dis,Rec,PrgR,SecondCrdY,Fls,Fld,PKwon,PKcon,OG,Recov,Won,WonPct,SoTA,GA,Saves,SavePct,PSxG,Thr,LaunchPct,AvgLen,Opp,Stp,StpPct,NumOPA,AvgDist
4,Adam Armstrong,68c720b5,9,ENG,RW,25,76,0,0,0,0,1,1,0,0,21,0,0,0,0.1,0.1,0.2,2,0,12,15,80.0,3,13,6,1,212,81,0.3,2,1,3,1,13,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,25.0,2,50.0,3,0,0,12,4,0,0,1,0,0,0,0,0,0.0,,,,,,,,,,,,,
4,Anthony Elanga,2fba6108,36,SWE,RW,20,79,0,0,0,0,1,1,0,0,36,0,0,2,0.1,0.1,0.4,5,0,16,20,80.0,1,19,1,0,212,78,0.7,3,0,1,0,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,2,4,0.0,4,100.0,1,2,1,23,4,0,0,1,0,0,0,4,3,75.0,,,,,,,,,,,,,
4,Armel Bella Kotchap,a39d11bc,37,GER,CB,20,90,0,0,0,0,4,0,0,0,58,2,2,2,0.2,0.2,0.0,2,0,36,44,81.8,5,37,1,1,653,177,0.0,0,4,1,0,42,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,100.0,0,0,4,1,0,4,5,100.0,0,0.0,1,1,0,34,0,0,0,1,0,0,0,6,5,62.5,,,,,,,,,,,,,
4,Bruno Fernandes,507c7bdf,8,POR,AM,27,90,1,0,0,0,5,2,0,0,51,1,0,0,0.6,0.6,0.0,3,0,26,40,65.0,7,27,2,1,388,133,0.1,0,1,1,0,39,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.0,1,0,1,2,0,2,4,100.0,0,0.0,1,0,2,29,6,0,1,0,0,0,0,6,1,25.0,,,,,,,,,,,,,
4,Casemiro,4d224fe8,18,BRA,DM,30,11,0,0,0,0,0,0,0,0,11,1,0,1,0.0,0.0,0.0,0,0,5,8,62.5,1,2,0,0,48,16,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,2,0,1,1,0,2,0,,0,,0,0,0,4,0,0,0,0,0,0,0,2,3,75.0,,,,,,,,,,,,,
4,Che Adams,f2bf1b0f,10,SCO,FW,26,90,0,0,0,0,5,2,0,0,39,0,0,0,0.5,0.5,0.1,1,0,10,25,40.0,1,27,2,0,213,29,0.1,1,2,0,0,24,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,14,,0,,1,4,0,32,6,0,0,2,0,0,0,1,3,33.3,,,,,,,,,,,,,
4,Christian Eriksen,980522ec,14,DEN,DM,30,89,0,0,0,0,1,0,0,0,56,0,0,0,0.5,0.5,0.3,2,0,37,50,74.0,6,32,0,0,727,264,0.2,2,5,1,0,47,3,0,0,2,4,0,3,2,1,0,0,0,0,0,0,,0,0,0,2,0,1,2,0.0,1,100.0,0,0,3,39,3,0,0,0,0,0,0,7,0,0.0,,,,,,,,,,,,,
4,Cristiano Ronaldo,dea698d9,7,POR,FW,37,23,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,5,10,50.0,2,4,1,0,55,21,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0.0,1,100.0,0,2,1,9,1,0,1,0,0,0,0,1,3,100.0,,,,,,,,,,,,,
4,David de Gea,7ba6d84e,1,ESP,GK,31,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,23,33,69.7,0,16,0,0,586,480,0.0,0,0,0,0,19,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,29,0,,0,,0,0,0,10,0,0,0,0,0,0,0,0,0,,4,0,4,100.0,0.8,7,45.0,35.0,22,2,9.1,0,7.3
4,Diogo Dalot,d9565625,20,POR,RB,23,90,0,1,0,0,0,0,1,0,64,4,2,1,0.0,0.0,0.2,2,1,36,52,69.2,4,30,2,2,650,260,0.3,2,2,3,2,41,10,0,0,1,4,10,0,0,0,0,1,2,4,0,0,75.0,1,0,6,4,0,8,1,100.0,0,0.0,0,2,0,31,5,0,2,0,0,0,0,6,1,50.0,,,,,,,,,,,,,
4,Fred,b853e0ad,17,BRA,AM,29,1,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,1,1,1,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,
4,Gavin Bazunu,c91441dc,31,IRL,GK,20,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.1,1,0,19,34,55.9,1,24,0,0,746,639,0.0,1,6,1,0,26,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,2,0,18,0,,0,,0,0,0,18,0,0,0,0,0,0,0,3,0,,4,1,3,75.0,1.2,4,72.4,46.3,8,0,0.0,5,24.0
4,Jadon Sancho,dbf053da,25,ENG,LW,22,67,0,0,0,0,0,0,0,0,37,1,1,0,0.0,0.0,0.0,1,1,21,26,80.8,4,24,6,2,265,78,0.0,0,2,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,2,1,0,1,3,100.0,0,0.0,2,4,1,23,7,0,1,0,0,0,0,4,1,50.0,,,,,,,,,,,,,
4,James Ward-Prowse,3515d404,8,ENG,DM,27,90,0,0,0,0,0,0,0,0,83,1,5,1,0.0,0.0,0.3,6,0,47,69,68.1,9,37,1,0,863,332,0.3,4,4,4,2,58,11,6,0,0,15,0,5,1,3,0,0,0,0,1,0,0.0,2,1,6,2,0,4,1,,0,,0,4,1,40,1,0,0,1,0,0,0,7,3,50.0,,,,,,,,,,,,,
4,Joe Aribo,328f7d51,7,NGA,AM,26,88,0,0,0,0,1,1,0,0,32,1,0,1,0.1,0.1,0.0,4,0,17,21,81.0,1,18,0,1,165,34,0.0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,100.0,0,1,1,0,0,0,8,50.0,1,50.0,0,5,1,19,8,0,1,1,0,0,0,5,4,57.1,,,,,,,,,,,,,
4,Kyle Walker-Peters,984a5a64,2,ENG,RB,25,90,0,0,0,0,1,0,0,0,60,1,3,2,0.2,0.2,0.1,3,0,34,47,72.3,2,27,3,1,421,171,0.1,1,1,1,0,31,16,1,0,0,1,15,0,0,0,0,0,0,0,1,0,,0,0,4,0,0,2,3,25.0,0,0.0,0,0,3,27,5,0,1,3,0,0,0,5,0,0.0,,,,,,,,,,,,,
4,Lisandro Martínez,bac46a10,6,ARG,CB,24,90,0,0,0,0,0,0,0,0,61,0,4,0,0.0,0.0,0.0,0,0,33,48,68.8,0,30,0,1,573,206,0.0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4,8,0,6,0,100.0,0,0.0,0,1,0,32,0,0,0,0,0,0,0,5,5,100.0,,,,,,,,,,,,,
4,Lyanco,b5bf1770,4,BRA,AM,25,2,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,1,0,2,2,100.0,0,0,0,0,20,4,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,
4,Marcus Rashford,a1d5bd30,10,ENG,FW,24,90,0,0,0,0,1,0,0,0,26,2,0,0,0.1,0.1,0.0,2,0,13,19,68.4,1,17,1,0,226,43,0.0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0.0,1,0,2,0,0,1,1,0.0,1,100.0,0,0,1,19,3,0,0,1,0,0,0,2,1,50.0,,,,,,,,,,,,,
4,Mohamed Elyounoussi,68dc0dac,24,NOR,LW,28,62,0,0,0,0,1,0,0,0,25,1,0,0,0.0,0.0,0.3,3,0,14,20,70.0,1,16,0,0,202,82,0.2,2,1,2,1,20,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0.0,1,0,1,1,0,1,0,0.0,1,100.0,0,1,0,17,2,0,0,0,0,0,0,3,0,0.0,,,,,,,,,,,,,
4,Mohammed Salisu,0b33f6ad,22,GHA,CB,23,90,0,0,0,0,1,0,0,0,63,2,0,1,0.1,0.1,0.0,0,0,30,54,55.6,2,30,0,1,652,290,0.0,0,2,0,0,46,8,2,0,2,3,6,0,0,0,0,0,1,2,0,0,100.0,0,1,2,5,0,5,1,100.0,0,0.0,0,0,0,28,0,0,0,0,0,0,0,7,3,60.0,,,,,,,,,,,,,
4,Moussa Djenepo,254147d4,19,MLI,LB,24,88,0,0,0,0,0,0,0,0,45,4,1,1,0.0,0.0,0.0,3,0,27,35,77.1,3,24,3,0,423,184,0.0,1,3,0,0,27,8,2,0,0,2,6,0,0,0,0,0,2,3,1,0,50.0,2,1,5,0,0,1,1,0.0,1,50.0,0,0,0,17,3,0,0,2,0,0,0,8,1,50.0,,,,,,,,,,,,,
4,Raphaël Varane,9f8e9423,19,FRA,CB,29,90,0,0,0,0,1,0,0,0,70,0,0,1,0.0,0.0,0.0,0,0,49,61,80.3,1,44,0,0,959,266,0.0,0,4,0,0,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,6,0,10,1,,0,,0,0,0,49,0,0,1,0,0,0,0,8,3,50.0,,,,,,,,,,,,,
4,Romain Perraud,6dfd8f05,15,FRA,LB,24,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,28,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,
4,Roméo Lavia,ecad9aa5,45,BEL,DM,18,90,0,0,0,0,1,0,0,0,49,2,2,2,0.0,0.0,0.0,3,0,36,39,92.3,3,32,0,1,613,149,0.0,1,1,1,0,39,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,100.0,0,1,4,1,0,3,0,50.0,0,0.0,0,0,1,27,0,0,2,1,0,0,0,11,0,0.0,,,,,,,,,,,,,
4,Scott McTominay,d93c2511,39,SCO,DM,25,90,0,0,0,0,2,1,1,0,45,2,0,0,0.3,0.3,0.0,2,0,23,30,76.7,3,22,1,1,329,70,0.1,0,3,0,0,28,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,100.0,0,0,2,8,0,11,4,100.0,0,0.0,1,1,0,20,1,0,5,1,0,0,0,6,3,33.3,,,,,,,,,,,,,
4,Sekou Mara,3544641e,18,FRA,RW,20,14,0,0,0,0,2,0,0,0,4,0,0,0,0.2,0.2,0.0,0,0,1,2,50.0,1,5,0,0,45,13,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,2,,0,,0,0,1,5,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,
4,Stuart Armstrong,97333cf5,17,SCO,LW,30,28,0,0,0,0,0,0,0,0,21,3,0,0,0.0,0.0,0.0,2,0,11,15,73.3,2,13,1,0,175,55,0.0,1,2,2,1,15,0,0,0,0,1,0,0,0,0,0,0,2,0,2,1,100.0,0,0,3,0,0,0,0,0.0,1,100.0,0,1,0,12,3,0,0,1,0,0,0,3,0,,,,,,,,,,,,,,
4,Tyrell Malacia,6b6c793c,12,NED,LB,23,90,0,0,0,0,0,0,0,0,59,3,3,1,0.0,0.0,0.0,1,0,39,45,86.7,3,26,1,0,536,204,0.1,0,1,0,0,35,10,1,0,0,0,9,0,0,0,0,0,3,3,0,0,50.0,1,0,6,5,0,1,1,,0,,0,2,0,28,2,0,2,0,0,0,0,5,2,100.0,,,,,,,,,,,,,
